CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H5992 ,Senior Whole Health of New York ,"SENIOR WHOLE HEALTH OF NEW YORK, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5995 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6018 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA I ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6019 ,HEALTH PLAN OF SAN MATEO ,SAN MATEO HEALTH COMMISSION ,Health Plan of San Mateo ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6062 ,GlobalHealth ,"GLOBALHEALTH OF TEXAS, INC. ","MHH Healthcare, L.P. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6067 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CAREFIRST ADVANTAGE, INC. ","CareFirst, Inc. ",36%,55%,35%,Not Available ,19%
H6078 ,Region 6 Rx Corp PPO ,"Group Retiree Health Solutions, Inc. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6154 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6158 ,Arkansas Blue Medicare ,"USABLE HMO, INC. ",USAble Mutual Insurance Company ,21%,18%,22%,Not Available ,12%
H6193 ,Wellcare ,"WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6200 ,Essence Healthcare ,"ESSENCE HEALTHCARE PPO, INC. ",Essence Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6202 ,NextBlue of North Dakota ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6207 ,Champion Health Plan ,"RENAL PAYER SOLUTIONS, LLC ","Renal Payment Services, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6237 ,Regence BlueCross BlueShield of Oregon ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,"Cambia Health Solutions, Inc. ",13%,21%,21%,6%,9%
H6306 ,FirstMedicare Direct ,FIRSTCAROLINACARE INSURANCE COMPANY ,The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6316 ,Healthy Blue ,"MISSOURI CARE, INCORPORATED ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6322 ,McLaren Medicare ,"MCLAREN HEALTH PLAN, INC. ",McLaren Health Care Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6328 ,Care N' Care Insurance Company ,"CARE N' CARE INSURANCE COMPANY, INC. ",Texas Health Resources ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6345 ,PruittHealth Premier ,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC ","UNICO Premier, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6348 ,Wellcare by Allwell ,COORDINATED CARE CORPORATION ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6351 ,Liberty Medicare Advantage ,"LIBERTY ADVANTAGE, LLC ",Liberty Healthcare Insurance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6378 ,AmeriHealth Caritas VIP Care ,AMERIHEALTH CARITAS FLORIDA INC ,"Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6379 ,Clear Spring Health ,"CLEAR SPRING HEALTH (CO), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6396 ,CareSource ,"CARESOURCE OHIO, INC. ",CareSource ,28%,38%,35%,17%,17%
H6399 ,Aetna Better Health of New Jersey ,AETNA BETTER HEALTH INC. (NJ) ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6408 ,Trinity Health Plan Of New England ,MOUNT CARMEL HEALTH PLAN OF CONNECTICUT INC ,Trinity Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6446 ,Wellcare by Allwell ,"SILVERSUMMIT HEALTHPLAN, INC. ",Centene Corporation ,23%,30%,9%,5%,21%
H6453 ,Blue Cross and Blue Shield of Louisiana ,"HMO LOUISIANA, INC. ",Louisiana Health Service & Indemnity Company ,17%,17%,29%,17%,12%
H6502 ,Blue Medicare Advantage ,MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY ,Blue Cross and Blue Shield of Kansas City ,12%,12%,18%,10%,12%
H6526 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW MEXICO, INC. ","UnitedHealth Group, Inc. ",16%,21%,16%,5%,9%
H6528 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",10%,22%,28%,Not Available ,9%
H6529 ,MyTruAdvantage ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ","SIHO Holding, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6545 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF ILLINOIS INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6550 ,Wellcare by Allwell ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Centene Corporation ,17%,24%,12%,Not Available ,19%
H6586 ,Devoted Health ,"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC. ","Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6594 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6595 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",20%,18%,20%,Not Available ,23%
H6605 ,Wellcare by ‘Ohana Health Plan ,"WELLCARE HEALTH INSURANCE OF HAWAII, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6622 ,Humana ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana Inc. ,16%,21%,18%,Not Available ,15%
H6652 ,American Health Advantage of Florida ,"AMERICAN HEALTH PLAN OF FL, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6672 ,Clear Spring Health ,"CLEAR SPRING HEALTH (GA), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6678 ,Ascension Complete ,CENTENE VENTURE INSURANCE COMPANY TEXAS ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6706 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6713 ,Wellcare ,"WELLCARE OF ILLINOIS, INC. ",Centene Corporation ,28%,47%,13%,Not Available ,26%
H6723 ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,MEDICAL MUTUAL OF OHIO ,11%,17%,30%,8%,7%
H6743 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6750 ,"Harvard Pilgrim Health Care of New England, Inc. ","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC. ","Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6765 ,Iowa Health Advantage ,AMERICAN HEALTH PLAN OF IOWA INC ,Mitchell Family Office ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6776 ,RiverSpring Health Plans ,"ELDERSERVE HEALTH, INC. ",RiverSpring Living Holding Corp. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6813 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6815 ,Wellcare by Health Net ,"HEALTH NET HEALTH PLAN OF OREGON, INC. ",Centene Corporation ,22%,19%,14%,8%,15%
H6830 ,Ascension Complete ,CENTENE VENTURE COMPANY KANSAS ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6832 ,Align Senior Care ,"ALIGN SENIOR CARE MI, LLC ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6847 ,Mass General Brigham Health Plan ,ALLWAYS HEALTH PARTNERS INC ,Mass General Brigham Incorporated ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6851 ,WellSense Health Plan ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ","BMC Health System, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6852 ,Devoted Health ,DEVOTED HEALTH PLAN OF PENNSYLVANIA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6874 ,Aspirus Health Plan ,"ASPIRUS HEALTH PLAN, INC. ","Aspirus, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6891 ,American Health Advantage of Texas ,"AMERICAN HEALTH PLAN OF TX, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6898 ,Vermont Blue Advantage ,"VERMONT BLUE ADVANTAGE, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6910 ,Saint Alphonsus Health Plan ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6936 ,Blue Cross Blue Shield of Arizona ,"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,25%,34%,18%,Not Available ,14%
H6959 ,KeyCare Advantage ,"ISNP VENTURES, LLC ","ISNP Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6975 ,Wellcare ,"WELLCARE OF ALABAMA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6988 ,Centers Plan for Healthy Living ,"CENTERS PLAN FOR HEALTHY LIVING, LLC ","Centers Plan for Healthy Living, LLC ",Not Available ,37%,10%,Not Available ,Not Available
H7006 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7020 ,Cigna ,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC. ",CIGNA ,16%,24%,22%,Not Available ,13%
H7028 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7063 ,Blue Cross and Blue Shield of Kansas ,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC. ",Blue Cross Blue Shield of Kansas ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7074 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7076 ,CareSource ,"CARESOURCE INDIANA, INC. ",CareSource ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7093 ,Anthem Blue Cross and Blue Shield ,COMMUNITY INSURANCE COMPANY ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7115 ,Memorial Hermann Health Plan ,MEMORIAL HERMANN HEALTH PLAN ,Memorial Hermann Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7123 ,UPMC for Life Complete Care ,"UPMC HEALTH COVERAGE, INC. ",UPMC Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7147 ,Devoted Health ,DEVOTED HEALTH PLAN OF COLORADO INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7149 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,23%,28%,30%,Not Available ,15%
H7151 ,Devoted Health ,"DEVOTED HEALTH PLAN OF ILLINOIS, INC. ","Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7163 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN OF MISSISSIPPI, INC. ",Louisiana Health Service & Indemnity Company ,14%,42%,12%,Not Available ,11%
H7165 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7169 ,Wellcare ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7175 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Centene Corporation ,32%,35%,18%,16%,27%
H7199 ,Devoted Health ,DEVOTED HEALTH  PLAN OF OREGON ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7220 ,Indiana University Health Plans ,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC. ",Indiana University Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7245 ,Premera Blue Cross Medicare Advantage ,PREMERA BLUE CROSS ,Premera ,21%,14%,23%,10%,10%
H7273 ,Banner Medicare Advantage Plus ,BANNER HEALTH INSURANCE GROUP ,Banner Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7284 ,Humana ,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC. ",Humana Inc. ,13%,17%,32%,10%,14%
H7301 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF ILLINOIS, INC. ",CVS Health Corporation ,17%,25%,20%,Not Available ,16%
H7323 ,Wellcare ,WELLCARE NATIONAL HEALTH INSURANCE COMPANY ,Centene Corporation ,36%,43%,18%,Not Available ,27%
H7326 ,Wellcare ,"WELLCARE OF SOUTH CAROLINA, INC. ",Centene Corporation ,25%,28%,20%,Not Available ,15%
H7330 ,Zing Health ,"ZING HEALTH, INC. ","Zing Health Consolidator, Inc ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7360 ,Wellcare by Health Net ,"HEALTH NET OF CALIFORNIA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7379 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CAREFIRST ADVANTAGE PPO, INC. ","CareFirst, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7389 ,Cigna ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,CIGNA ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7399 ,Ascension Complete ,CENTENE VENTURE COMPANY ILLINOIS ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7404 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",18%,21%,29%,10%,17%
H7445 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",22%,29%,23%,Not Available ,12%
H7464 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7511 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC. ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7512 ,Ascension Complete ,CENTENE VENTURE COMPANY MICHIGAN ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7518 ,Wellcare ,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC ",Centene Corporation ,20%,27%,10%,Not Available ,21%
H7522 ,Medicare y Mucho Mas ,"MMM HEALTHCARE, LLC ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7524 ,Excellus Health Plan Community Care LLC ,EXCELLUS HEALTH PLAN COMMUNITY CARE LLC ,"Lifetime Healthcare, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7556 ,Ascension Complete ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7557 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7559 ,Molina Healthcare of Virginia ,"Molina Healthcare of Virginia, LLC ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7598 ,Group Health Cooperative of Eau Claire ,GROUP HEALTH COOPERATIVE OF EAU CLAIRE ,Group Health Cooperative of Eau Claire ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7605 ,Devoted Health ,DEVOTED HEALTH PLAN OF TENNESSEE INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7607 ,Clever Care Health Plan ,"CLEVER CARE OF GOLDEN STATE, INC. ","Clever Care Health Plan, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7617 ,Humana ,EMPHESYS INSURANCE COMPANY ,Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7621 ,Humana ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC. ",Humana Inc. ,20%,25%,24%,16%,15%
H7646 ,PHP Medicare ,PHP MEDICARE ,Sparrow Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7670 ,Mass Advantage ,"CENTRAL MASS HEALTH, LLC ",Central Mass Health Holding LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7678 ,"Molina Healthcare of Texas, Inc. ","MOLINA HEALTHCARE OF TEXAS, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7680 ,Prominence Health Plan ,PROMINENCE HEALTHFIRST OF TEXAS ,"Universal Health Services, Inc. ",27%,42%,5%,Not Available ,16%
H7728 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC. ","Elevance Health, Inc. ",9%,14%,32%,Not Available ,8%
H7746 ,MDwise Medicare ,"MDWISE, INC ",McLaren Health Care Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7778 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ILLINOIS, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7779 ,American Health Advantage of Tennessee ,"AMERICAN HEALTH PLAN, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7787 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,33%,40%,21%,Not Available ,16%
H7813 ,"iCircle Services of the Finger Lakes, Inc ","ICIRCLE SERVICES OF THE FINGER LAKES, INC. ","CDS Monarch, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7849 ,Cigna ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,CIGNA ,29%,38%,24%,Not Available ,20%
H7917 ,BlueCross BlueShield of Tennessee ,"BLUECROSS BLUESHIELD OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,14%,12%,27%,Not Available ,10%
H7925 ,Ascension Complete ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7993 ,Devoted Health ,"DEVOTED HEALTH PLAN OF TEXAS, INC. ","Devoted Health, Inc. ",15%,27%,13%,Not Available ,12%
H8003 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,7%,6%,33%,Not Available ,7%
H8010 ,Clover Health ,"CLOVER HMO OF NEW JERSEY, INC. ","Clover Health Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8014 ,Clear Spring Health ,CLEAR SPRING HEALTH INSURANCE COMPANY ,Group 1001 ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8019 ,WellFirst Health ,SSM HEALTH PLAN ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8064 ,FirstMedicare Direct ,FIRSTCAROLINACARE INSURANCE COMPANY ,The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8067 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN, INC. ","Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8070 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8087 ,Humana ,HUMANADENTAL INSURANCE COMPANY ,Humana Inc. ,14%,15%,24%,Not Available ,10%
H8093 ,Georgia Health Advantage ,"GEORGIA ASSURANCE, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8095 ,Wellmark Advantage Health Plan ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8121 ,Ascension Complete ,CENTENE VENTURE COMPANY TENNESSEE ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8130 ,Molina Healthcare of Florida ,"MOLINA HEALTHCARE OF FLORIDA, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8133 ,Blue Cross and Blue Shield of Texas ,GHS INSURANCE COMPANY ,Health Care Service Corporation ,31%,36%,19%,Not Available ,21%
H8142 ,Baylor Scott & White Health Plan ,SCOTT AND WHITE HEALTH PLAN ,Baylor Scott & White Holdings ,19%,16%,28%,Not Available ,13%
H8145 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,9%,30%,8%,8%
H8166 ,Highmark Inc. ,"HIGHMARK BCBSD, INC. ",Highmark Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8173 ,Devoted Health ,"DEVOTED HEALTH PLAN OF ARIZONA, INC. ","Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8176 ,Molina Healthcare of South Carolina ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ","Molina Healthcare, Inc., ",Not Available ,31%,9%,Not Available ,16%
H8181 ,Blue Cross and Blue Shield of Nebraska ,"SAPPHIRE EDGE, INC. ",Blue Cross Blue Shield of Nebraska ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8189 ,Wellcare by Allwell ,MANAGED HEALTH SERVICES INSURANCE CORP. ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8211 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",14%,12%,33%,Not Available ,10%
H8225 ,Ascension Complete ,CENTENE VENTURE COMPANY FLORIDA ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8229 ,Essence Healthcare ,"ESSENCE HEALTHCARE OF GEORGIA, INC. ",Essence Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8244 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NEVADA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8293 ,Clear Spring Health ,"CLEAR SPRING HEALTH (VA), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8298 ,Horizon Blue Cross Blue Shield of New Jersey ,"HORIZON HEALTHCARE OF NEW JERSEY, INC. ","Horizon Healthcare Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8330 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8332 ,Aetna Medicare ,"AETNA BETTER HEALTH OF KANSAS, INC. ",CVS Health Corporation ,23%,25%,15%,Not Available ,11%
H8343 ,Amerigroup Insurance Company ,AMERIGROUP INSURANCE COMPANY ,"Elevance Health, Inc. ",20%,46%,23%,Not Available ,16%
H8379 ,Priority Health Medicare ,"PRIORITY HEALTH CHOICE, INC. ",BHSH ,16%,21%,15%,19%,20%
H8384 ,Honest Health Plan ,HONEST HMO OF MICHIGAN LLC ,Honest Medical Group LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
